receivedate,prr,l,u
2019-01-31,1.3897303158557488,0.34035311491669407,5.674548773503198
2019-02-28,0.0,0.0,0.0
2019-03-31,0.0,0.0,0.0
2019-04-30,0.0,0.0,0.0
2019-05-31,1.0962082239720035,0.6040146755024337,1.9894756187906768
2019-06-30,0.0,0.0,0.0
2019-07-31,1.5003003877733074,0.8972497789980947,2.5086673814132157
2019-08-31,0.4636707314559023,0.24076094723115773,0.8929627071222487
2019-09-30,0.3174674995710189,0.10201235309845944,0.9879745954551157
2019-10-31,0.0,0.0,0.0
2019-11-30,0.0,0.0,0.0
2019-12-31,0.29319653211732255,0.09428503856271879,0.9117481177932638
