receivedate,prr,l,u
2019-01-31,0.0,0.0,0.0
2019-02-28,0.0,0.0,0.0
2019-03-31,0.0,0.0,0.0
2019-04-30,0.0,0.0,0.0
2019-05-31,0.19714815255050605,0.07400550316518673,0.5251959974830818
2019-06-30,0.29421341842040294,0.09476304027038873,0.9134524951039121
2019-07-31,0.0,0.0,0.0
2019-08-31,0.7973536331457033,0.49552058451553327,1.2830401726141065
2019-09-30,0.2584175084175084,0.06454478476824349,1.034624391366304
2019-10-31,0.0,0.0,0.0
2019-11-30,0.0,0.0,0.0
2019-12-31,0.20597495642675276,0.051495387329509236,0.8238734549859541
