receivedate,prr,l,u
2019-01-31,2.923733824591249,2.085245907196529,4.099381970998073
2019-02-28,0.24423122901020916,0.0610631885326647,0.9768388231467652
2019-03-31,0.4392315231820946,0.18281864229045114,1.0552771234913583
2019-04-30,0.8787977317780864,0.43867178543434704,1.7605086057988384
2019-05-31,2.475324744024788,1.882269074098051,3.2552373476770002
2019-06-30,0.13531917539877492,0.019050980108031457,0.9611725552579204
2019-07-31,0.7684076482621892,0.384044720255188,1.537451975685251
2019-08-31,0.0,0.0,0.0
2019-09-30,0.954403359456896,0.427997491281373,2.12825026103664
2019-10-31,3.32872232708923,2.4329425827915085,4.554317232652865
2019-11-30,1.787430701141393,1.3840134380383944,2.308437493143893
2019-12-31,2.332931286549708,1.6364550559335784,3.3258282089864997
