receivedate,prr,l,u
2019-01-31,0.9031743287631155,0.44903490368070553,1.8166157273082264
2019-02-28,0.8050957079143989,0.555229502045482,1.167407525202238
2019-03-31,2.029381728492291,1.6733711655662045,2.461133718976718
2019-04-30,1.9194175218958853,1.4330112229378744,2.57092447315792
2019-05-31,2.106308251356981,1.5621451802788866,2.8400269742806215
2019-06-30,2.2047597124239657,1.6320656963165074,2.97841281787784
2019-07-31,1.6363935843851016,1.2327629693680124,2.172180726996944
2019-08-31,0.7746792589706731,0.43849121669945107,1.368620240096368
2019-09-30,2.4370317663253953,2.0239894229191133,2.9343650529128418
2019-10-31,1.1916818805021188,0.7373011838634209,1.926086293359498
2019-11-30,1.9904693371711841,1.3679530075232773,2.8962750623955738
2019-12-31,1.7607025618464247,1.1520889450880407,2.6908282772001257
