receivedate,prr,l,u
2019-01-31,0.0,0.0,0.0
2019-02-28,0.0,0.0,0.0
2019-03-31,0.6027558148821521,0.1503243551153034,2.416870986045966
2019-04-30,0.0,0.0,0.0
2019-05-31,0.0,0.0,0.0
2019-06-30,0.3991393774754311,0.0560392949613998,2.8428666485045877
2019-07-31,1.6284663414634148,0.7729752770689639,3.4307728900915935
2019-08-31,0.20774266958424506,0.05193380568442662,0.8310004667909463
2019-09-30,2.1667369631450093,1.1219694492793666,4.184382266802597
2019-10-31,1.818137484394507,0.8596589396124011,3.845273700813034
2019-11-30,0.5218814757845713,0.16774921352052333,1.6236158074968268
2019-12-31,0.7254343695712574,0.30095106254737336,1.7486398622447419
