receivedate,prr,l,u
2019-01-31,2.742101071405733,1.667459384832896,4.509326196606578
2019-02-28,0.6821185814377779,0.41124040426526814,1.1314203427408283
2019-03-31,2.532919604543443,2.025951062624692,3.1667505901000226
2019-04-30,0.9979638965685477,0.6106649822789547,1.630897411437508
2019-05-31,0.23298647364531153,0.07510836195369781,0.722725080000296
2019-06-30,0.9175163404938459,0.5071779031080735,1.6598440703238482
2019-07-31,2.3119860828928727,1.6803094793740188,3.1811280678376317
2019-08-31,0.38531178269150496,0.1443900125007012,1.0282232635736115
2019-09-30,0.4070888101386696,0.21918486714837862,0.756080022750529
2019-10-31,0.3402613226452905,0.10956601827465481,1.0566941238851664
2019-11-30,0.24280210157618215,0.06067658553287031,0.9715915952105472
2019-12-31,0.9879765226964337,0.4428710290710204,2.204022266813949
