receivedate,prr,l,u
2019-01-31,0.0,0.0,0.0
2019-02-28,0.0,0.0,0.0
2019-03-31,0.0,0.0,0.0
2019-04-30,1.2595170148903383,0.5207388068983305,3.046408467706144
2019-05-31,0.6402287623334889,0.23967618655932846,1.7101943835275761
2019-06-30,0.28972543583142163,0.04066761776283067,2.064070451759467
2019-07-31,0.0,0.0,0.0
2019-08-31,0.9905446985446986,0.574144999920598,1.7089390309951338
2019-09-30,0.39437514437514437,0.09838183609798949,1.5808990833023737
2019-10-31,0.0,0.0,0.0
2019-11-30,0.0,0.0,0.0
2019-12-31,1.5624227253764176,0.7786156519938927,3.1352629073424025
