receivedate,prr,l,u
2019-01-31,0.6198387533217231,0.27703333175548844,1.386837019519823
2019-02-28,1.5326178315543448,1.1357158624838475,2.0682263013049615
2019-03-31,1.2488578262934542,0.9712889736874843,1.6057485594356524
2019-04-30,1.5383400855859772,1.144332651857041,2.06800899640528
2019-05-31,1.2911634037427988,0.8999957812489595,1.8523452774980627
2019-06-30,0.901586745318348,0.5506534280588085,1.4761710686143599
2019-07-31,0.9115077396559929,0.6235881891064952,1.3323638483968896
2019-08-31,1.0782825284835054,0.6847969832934718,1.697865556651417
2019-09-30,1.8805964347797919,1.546031788774669,2.287561598788007
2019-10-31,1.5962714175542914,1.0638161396040142,2.395228220028005
2019-11-30,1.443928857419817,0.9375711983889186,2.2237570318631286
2019-12-31,0.7092864342598731,0.36755059032277065,1.3687564625682982
