receivedate,prr,l,u
2019-01-31,0.5144137863201379,0.29146082477418656,0.90791461858121
2019-02-28,0.26060235302462076,0.09768254305392028,0.6952479355956274
2019-03-31,0.7119142620304417,0.44768956981855884,1.1320833690357248
2019-04-30,0.6301974915244176,0.3566447898267367,1.1135698309699384
2019-05-31,0.16631623692139563,0.07467901360034375,0.37039978609956464
2019-06-30,0.06675819591304215,0.009394342265590154,0.4743979509760974
2019-07-31,0.0,0.0,0.0
2019-08-31,0.4198456415806762,0.2528031923728637,0.6972631994864429
2019-09-30,0.0,0.0,0.0
2019-10-31,0.0,0.0,0.0
2019-11-30,0.7979175254418043,0.5730217212787385,1.1110789587284629
2019-12-31,0.0,0.0,0.0
