receivedate,prr,l,u
2019-01-31,0.09472786099192078,0.02366929655182822,0.3791142515983037
2019-02-28,0.5754173550126077,0.31788914280153363,1.0415742089575637
2019-03-31,0.6057092533861453,0.37039199894365465,0.9905281450029736
2019-04-30,0.0,0.0,0.0
2019-05-31,0.40264103071042573,0.23365252327373925,0.6938499843274537
2019-06-30,0.18181615166319667,0.05853602930299559,0.5647310451227144
2019-07-31,0.08428617068679956,0.021059771884742305,0.3373331206019014
2019-08-31,0.22183256927614098,0.10567911027596992,0.4656519974775331
2019-09-30,0.3461251099622814,0.14366155380721032,0.833922427897258
2019-10-31,0.0,0.0,0.0
2019-11-30,1.3776872207327973,1.065536945474502,1.78128227860296
2019-12-31,1.1615073460675558,0.7693588043856908,1.7535372407236058
